tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1795878339971887254',Comerciantes ambulantes protagonizan incidentes durante copamiento en Barrio Meiggs #CooperativaContigo https://t.co/YuG1gSxIYD https://t.co/7MiS8hYeg6,es,Tweet,0,0,1,1,682,2024-05-29 14:02:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://cooperativa.cl/noticias/pais/policial/comerciantes-ambulantes-protagonizan-incidentes-en-barrio-meiggs/2024-05-29/135055.html,photo,https://pbs.twimg.com/media/GOw90VsWUAA8DGi.jpg
'1795878149726900332',"""A mí me apoyó el pueblo chileno"", dijo la mamá de Tomás Ross al concluir su odisea de 1.300 kilómetros entre Chiloé y el Palacio de La Moneda #CooperativaContigo https://t.co/P6T09y3WFg https://t.co/XETT34r2fB",es,Tweet,0,5,0,1,861,2024-05-29 14:01:31,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",#CooperativaContigo,http://tinyurl.com/25x4hshh,photo,https://pbs.twimg.com/media/GOw9pc9WoAAuhVw.jpg
'1795877796100845773',Jugador de O'Higgins Julio Mosevich recibió cinco fechas de suspensión #CooperativaContigo https://t.co/HsdaV2L6Rs https://t.co/MADiF5XkEH,es,Tweet,0,0,0,1,928,2024-05-29 14:00:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/2d9e87hk,photo,https://pbs.twimg.com/media/GOw9VNAXsAAzO04.jpg
'1795876331596685480',Comenta con #CooperativaContigo,es,Tweet,0,2,0,0,2229,2024-05-29 13:54:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,,,
'1795875299269267502',Desde Turquía afirmaron que Galatasaray pretende a Alexis Sánchez #CooperativaContigo https://t.co/5qiZXADTMp https://t.co/GS4x8SmnFW,es,Tweet,0,2,0,0,1976,2024-05-29 13:50:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/2ykbpbjy,photo,https://pbs.twimg.com/media/GOw7EDMWgAALckb.jpg
'1795874084083085539',Aventura suma segundo concierto en Estadio Nacional: fecha y venta de entradas https://t.co/KPxtOhxkjb https://t.co/SJxNWPlGQV,es,Tweet,0,0,0,0,2256,2024-05-29 13:45:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://tinyurl.com/28btyntj,photo,https://pbs.twimg.com/media/GOw57bOWcAAIy6d.jpg
'1795871459501310034',Juicio que investiga la muerte de Maradona comenzará el 1 de octubre #CooperativaContigo https://t.co/HQav8Ral78 https://t.co/wxxwtsew8n,es,Tweet,0,1,1,0,2595,2024-05-29 13:34:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/254ckmvq,photo,https://pbs.twimg.com/media/GOw3kTuWkAIGO9J.jpg
'1795870898223804591',Vaticano intervino conventos de monjas que siguen a un falso obispo excomulgado #CooperativaContigo https://t.co/DXPFtH8JGP https://t.co/3ZgGQWYC8Y,es,Tweet,1,1,1,0,2704,2024-05-29 13:32:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/2clesqns,photo,https://pbs.twimg.com/media/GOw3DUvWAAApKk_.jpg
'1795865349100855514',"Uno de los reyes se despide 😪 #icq #chat 
https://t.co/nPbs4QhZnq https://t.co/vfiSHWk0eQ",es,Retweet,0,3,3,0,2512,2024-05-29 13:10:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#icq,#chat",https://tinyurl.com/dthe2hmz,photo,https://pbs.twimg.com/media/GOwx_CuWsAAWRy8.jpg
'1795869599600181514',Informe en que participó Van Rysselberghe permite excarcelar a condenado por matanza en 1973 #CooperativaContigo  https://t.co/kDSQzjUuiH https://t.co/DogIcmLEnj,es,Tweet,0,3,5,0,3762,2024-05-29 13:27:32,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",#CooperativaContigo,https://tinyurl.com/2asldlrw,photo,https://pbs.twimg.com/media/GOw13Y5WAAEYGd2.jpg
