tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1778522646403281229',"EMOL SOCIAL FACTS | Ley de Ciberseguridad: Las implicancias de la normativa, sus efectos y complicaciones
> En marzo de 2023, los ciberataques se cuadriplicaron solo en dos semanas, una realidad que empujó a la creación de una nueva ley. Conoce los detalles.
https://t.co/bUHWgiatXy",es,Tweet,0,8,2,7,17263,2024-04-11 16:36:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GK6U4oDb0AA5g_1.jpg
'1775596510912098601',"EMOL SOCIAL FACTS | Altos precios de las viviendas: La evolución en el tiempo y las posibilidades de adquirir una
> En promedio, las viviendas cuestan un 40% más que hace 10 años. Expertos señalan las razones y cómo ha sido el comportamiento a través de los años.
https://t.co/eM0Q1MlbAF",es,Tweet,2,11,5,9,20221,2024-04-03 15:49:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GKQvlhkW0AExPKE.jpg
'1772335882432881027',"EMOL SOCIAL FACTS | Trabajadores informales: Las cifras que continúan al alza y las razones asociadas
&gt; Los distintos indicadores de empleo continúan en crecimiento y los expertos explican el panorama. Conoce los detalles.
https://t.co/NZGDYQTLOs https://t.co/flOPEt2jfh",es,Tweet,0,15,15,3,10650,2024-03-25 15:52:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://tiny.cc/p6jkxz,photo,https://pbs.twimg.com/media/GJiaFEbXQAEt1Th.jpg
'1768355814832562601',"EMOL SOCIAL FACTS | Crisis de seguridad: El solicitado despliegue militar y la factibilidad de la medida
&gt; Una iniciativa controversial respecto de la seguridad actual en el país. Conoce los detalles aquí.
https://t.co/6It4HWGMHd https://t.co/zjxnHDt7DT",es,Tweet,0,12,4,5,13341,2024-03-14 16:17:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://tiny.cc/c9jjxz,photo,https://pbs.twimg.com/media/GIp2PDHXYAAWgAL.jpg
'1767649293790323155',"EMOL SOCIAL FACTS | Balance de los delitos más cometidos en el país: Un zoom a las cifras y las medidas contra los ilícitos
&gt; A pesar de la disminución de ciertos indicadores, la percepción de inseguridad continúa y los especialistas detallan las razones.

https://t.co/7pfTz5mULW https://t.co/RWPUeljIjT",es,Tweet,0,6,4,4,9004,2024-03-12 17:30:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://tiny.cc/0ncjxz,photo,https://pbs.twimg.com/media/GIfzmu1X0AEXMLa.jpg
'1763320678130897338',"EMOL SOCIAL FACTS | Poder de armas de los delincuentes: Radiografía a su capacidad y las medidas preventivas
&gt; De acuerdo con la información de Carabineros, en 2023 se incautaron 2.752 armas.
https://t.co/NthVvjeTER
Imagen referencial: https://t.co/rQ2ZzXtU11",es,Tweet,0,7,3,5,10157,2024-02-29 18:49:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://tiny.cc/h5c4xz,photo,https://pbs.twimg.com/media/GHiSxD3XQAI-flJ.jpg
'1762936773615767562',"EMOL SOCIAL FACTS | Aumento de insolvencia económica en los chilenos: Las cifras que explican el panorama y la evolución en el tiempo
&gt; Expertos detallan los distintos factores que inciden en el alza.
https://t.co/QzCr70zu7A https://t.co/RjilngYqPl",es,Tweet,1,6,4,4,9118,2024-02-28 17:24:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://tiny.cc/js84xz,photo,https://pbs.twimg.com/media/GHc1cT2W0AA10yr.jpg
'1762546342214185206',"EMOL SOCIAL FACTS | Ley de incendios: En qué consiste el proyecto que busca combatir y prevenir los siniestros
&gt; A pesar de las constantes temporadas de incendios, la iniciativa aún permanece en el Congreso.
https://t.co/V7FgKrlr2I https://t.co/1DO24A17J7",es,Tweet,3,8,4,6,9212,2024-02-27 15:32:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://tiny.cc/en54xz,photo,https://pbs.twimg.com/media/GHXOOTIWAAA2O2v.jpg
'1761109011829522535',"EMOL SOCIAL FACTS | Alza del dólar: Cómo afecta en las finanzas personales y en la economía del país
&gt; Especialistas detallan las repercusiones en el bolsillo de los chilenos 
https://t.co/S1x32uwcRI https://t.co/3WJRz98NmH",es,Tweet,0,7,2,1,8855,2024-02-23 16:21:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://tiny.cc/jmhzwz,photo,https://pbs.twimg.com/media/GHC3LUUWsAAKBtf.jpg
'1760776586729607177',"EMOL SOCIAL FACTS | Trabajo informal: Aumento en los migrantes, datos y las razones de este fenómeno
&gt; En cuatro años, la informalidad en trabajos en las personas extranjeras pasó de 28,6 a 31,8%. Expertos detallan las causas.
https://t.co/odnG4jgRr3 https://t.co/w4Aso9VXAC",es,Tweet,0,4,8,1,9709,2024-02-22 18:20:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://tiny.cc/wxdzwz,photo,https://pbs.twimg.com/media/GG-IrehWoAAOPHw.jpg
