user,text,date,emotion,sentiment
@GabrielBoric,región coquimbo contará nuevo centro atención especializada violencias género atender integralmente 130 mujeres vivido tipo violenciaun paso compromiso presidencial avanzar vida libre violencia todas,2024-05-28 15:15:09,others,NEU
@GabrielBoric,ministro marcel delegación participa chile day inauguró día bolsa toronto interés escuchar ministro expone pacto fiscal 400 inscritos inversionistas canadienses chileday2024 detalles cnnchile,2024-05-29 10:13:59,others,NEU
@GabrielBoric,cuidémonos protejamos entorno enfermedades respiratorias sigue medidas autocuidado si perteneces grupos riesgo vacúnate influenza 1300 puntos disponibles,2024-05-29 09:52:54,others,NEU
@GabrielBoric,alianza públicoprivada educación futuro avanzamos,2024-05-29 12:40:01,others,NEU
@GabrielBoric,hoy latercera,2024-05-28 15:34:59,others,NEU
@GabrielBoric,diputadabulnes querida compañera coraje toda vida da esperanzas lograras superar enfermedad honor además contaste atiendas sistema público gran mayoría chilenos abrazo gigante mercedes,2024-05-29 09:17:26,joy,POS
@GabrielBoric,cnnprime ministra jara asegura desinformación deliberada ciudadanía propagandas afp,2024-05-27 21:10:41,others,NEG
@GabrielBoric,gobierno defiende campaña influenza ministra s salud albagliandrea superamos campaña vacunación 2021 ninguna razón objetiva decir campaña va lenta tvnplay vivo,2024-05-27 17:14:25,others,NEG
@GabrielBoric,materia seguridad asignaron 61 inmuebles carabineros pdi 10 encuentran trámite ¡seguimos avanzando recuperación terrenos fiscales,2024-05-28 11:22:24,others,NEU
@GabrielBoric,1300 puntos vacunación disponibles personas grupos riesgo protejan influenza covid19 revisa vacunatorios,2024-05-27 16:45:05,others,NEU
@GabrielBoric,¿tienes dudas proceso vacunación influenza ¿quieres saber si perteneces grupos objetivos encuentra vacunatorio cercano protege familia cercanos,2024-05-27 16:01:03,others,NEU
@GabrielBoric,inauguran punto vacunación plaza maipú así comienza lamañanaenvivo nueva señal tv abierta t13envivo »,2024-05-27 09:18:57,others,POS
@GabrielBoric,maña independencia muniindep allanando edificios almacenaban carros ilegales comida callejera trabajo coordinado carabineros inspectores municipales decomisaron mat primas alimentos envasados consumas alimentos comercio ilegal,2024-05-27 15:50:19,others,NEG
@GabrielBoric,embajadora chile onu paulanarvaezo rol presidenta ecosoc abordó situación gaza intervención iv conferencia internacional pequeños insulares desarrollo sids4,2024-05-27 15:44:39,others,NEU
@GabrielBoric,proyecto nuevaalameda pone foco especial modos sustentables ciclovías transporte público considera espacios peatones mejor luminaria parques principal vía chile avanzamos medidas concretas hacia movilidad sustentable,2024-05-27 13:19:40,others,NEU
@GabrielBoric,ministra camilavallejo proyecto cae salido criticar propuesta cuyo diseño conocen vivo,2024-05-27 12:19:34,others,NEG
@GabrielBoric,mejor momento vacunarse ahora llegamos operativo vacunación influenza covid19 plaza armas junto alcaldesa iracihassler proteger grupos riesgo generar cuadros graves hospitalización infecciones respiratorias,2024-05-27 12:41:02,others,NEU
@GabrielBoric,eje nuevaalameda cuenta varios proyectos anunciados mejorarán cara principal arteria santiago nueva plaza italia ciclovía metropolitana parque santiago bueras hoy contentos sumar cuatro,2024-05-27 10:59:53,joy,NEU
@GabrielBoric,gobiernodechile seguimos trabajando recuperación espacios públicos avanzar másseguridad gracias inversión 115 mil millones eje nuevaalameda busca aumentar espacio destinado peatón renovar instalar luminarias sector además mejorar conectividad incrementar áreas verdes ¡chile avanza contigo,2024-05-27 13:25:45,joy,POS
@GabrielBoric,fondo igualdad chileparatodas permite responder necesidades distintas mujeres diferentes ministerios haremos direcdeltrabajo formalizar dignificar labor trabajadoras hogar mayor fiscalización seguridad,2024-05-27 11:10:46,others,NEU
@GabrielBoric,¡la cultura cerca 294 puntos cultura comunitaria país haciendo arte cultura patrimonio cada rincón incluso zonas aisladas ialgt puntosdecultura,2024-05-27 10:22:51,joy,POS
@GabrielBoric,mopchile actor clave economíacircular,2024-05-27 10:24:23,others,NEU
@GabrielBoric,gracias trabajo conjunto concreto logramos plan calles violencia frutos interviniendo mejorarando conservando espacios públicos recuperar ciudad promover uso seguro brindamos másseguridad tranquilidad personas país,2024-05-26 14:57:22,joy,POS
@GabrielBoric,eel 12 enero 1998 eduardo contreras aboga abogado eduardo contreras interpona primera querella elictadictador augusto pinochet,2024-05-27 10:17:21,others,NEU
@GabrielBoric,entrevistas24 ministra totiorellanag “se recaudado equivalente 22 teletones muestra magnitud abandono parental” detalles,2024-05-27 08:01:54,others,NEG
@GabrielBoric,abrazo grande familia don eduardo contreras gran defensor derechos humanos además tremendo coraje interpuso junto gladys marín primera querella dictador,2024-05-27 10:04:10,joy,POS
@GabrielBoric,condolencias familia amigos abogado exalcalde eduardo contreras defensor incansable justicia derechos humanos junto gladys marín lideró histórica primera querella augusto pinochet tiempo senador vitalicio legado lucha diversas causas derechos humanos impulsó quedarán plasmadas historia,2024-05-27 09:43:18,sadness,NEU
@GabrielBoric,febrero 2024 presidente boric “sepan va investigar últimas consecuencias”,2024-05-25 22:00:21,others,NEU
@GabrielBoric,fotos presidente boric recorrió calles santiago centro día patrimonios cooperativacontigo,2024-05-26 17:08:40,others,POS
@GabrielBoric,presidente gabriel boric gabrielboric “el día patrimonios forma conectarnos identidad tradiciones unen alegra podido visitar moneda cerro castillo tantos lugares largo país”,2024-05-26 20:38:01,joy,POS
@GabrielBoric,diputado gonzalo winter dichos kast cumbre ultraderechista españa «el franquismo mussolinismo pinochetismo juntaron revivir pasado avergüenza abucheen presidente boric gente representa movimientos antidemocráticos»,2024-05-21 00:57:33,anger,NEG
@GabrielBoric,día patrimonios presidente boric llega moneda masivo recibimiento asistentes “es alegría tremenda”,2024-05-26 15:03:44,joy,POS
