fecha,tweet_normalizado,user
2024-05-29 15:32:41,vuelve esperado vecinos invierno ¡la pista hielo parque bustamante año llega cargada magia magos hechiceros invitados disfrutarla gozar inauguración sábado 1 junio 1900 horas ¡no pierdan info acá,@evelynmatthei
2024-05-28 17:14:43,tercer año consecutivo realizando feria inclusión laboral personas discapacidad evento solo hoy 1700 horas parque balmaceda providencia conscientes brecha importante personas discapacidad justamente desafía promover tipo instancias busca conectar necesitan oportunidad laboral agradezco diversidadprovi todas empresas hoy presentes 2 mil puestos trabajo,@evelynmatthei
2024-05-28 10:12:28,presentando problemas transmisión online finalizada sesión subiremos audio jornada quede disposición,@evelynmatthei
2024-05-27 17:16:28,cosoc alcaldesa evelynmatthei encabeza nuevo consejo sociedad civil junto diversos dirigentes sociales providencia instancia participativa manera representativa conversamos distintas iniciativas impulsa muniprovi,@evelynmatthei
2024-05-27 17:15:47,¡mañana,@evelynmatthei
2024-05-27 14:30:04,aún visto intervención diadelpatrimonio cuento disponible jueves 30 mayo podrán visitarla fotografiarla disfrutar maravillosa obra remonta pasado esperamos parque bustamante salida metro ¡no pierdan,@evelynmatthei
2024-05-27 10:00:07,postales dejó fin semana cariño imposible tener mal lunes agradecida ustedes siempre mando abrazo grande excelente semana,@evelynmatthei
2024-05-26 17:29:22,feria laboral inclusión 2024 ofrecerá dos mil vacantes personas discapacidad martes 28 mayo 1000 horas parque balmaceda realizara tercera versión encuentro organizado qla muniprovi cervecería abinbevcl colaboración achsseguro instancia pondrá disposición dos mil puestos trabajo esperamos junto equipo diversidadprovi,@evelynmatthei
2024-05-26 13:21:12,trabaja genuino deseo mejorar cosas gente entiende sabe diferenciar verdad queremos solucionar problemas aquellos buscando puesto agradezco mensajes apoyo cariño,@evelynmatthei
2024-05-26 08:50:00,ltdomingo evelyn matthei “los chilenos dado cuenta experimento lleva lugares van apreciar trayectoria”,@evelynmatthei
2024-05-26 09:47:22,van partiendo mañana quiero compartir entrevista pude conversar forma especial junto latercera deseo feliz domingo ustedes vemos rato mesacentral nota,@evelynmatthei
2024-05-25 18:59:57,hilo día hoy chile comunas evelynmatthei habló cuatro ejes fundamentales construir chile próximos cuatro años seguridad pública calidad vida reactivacion económica transparencia,@evelynmatthei
2024-05-25 18:40:20,invito conectarse mañana mesacentral hablando seguridad unidad nuevos desafíos enfrenta,@evelynmatthei
2024-05-25 18:00:47,comunas siendo mal gobernadas únicos afectados calidad vida vecinos vecinas unidad chile vamos organizaciones sociedad civil coordinándonos toda oposición incluya republicanos democráticas amarillos podremos devolver progreso comunas sido mal administrada invitación seguir camino unidad,@evelynmatthei
2024-05-25 15:20:10,linda jornada día hoy tantos amigos vecinos grandes profesionales lanzamiento chiledelascomunas agradezco cariño todas personas acercaron saludarme escrito enviado buenos deseos verdad valoro hace feliz,@evelynmatthei
2024-05-25 14:05:07,chile comunas invitación participar unidad trabajo comunas regiones país propuestas futuras elecciones municipales regionales octubre nazcan tan solo ciudadanía sino escuchando expertos mundo académico destacadas profesionales feliz poder compartir trasmitir trabajo providencia junto grandes amigos solo une querer mejor,@evelynmatthei
2024-05-25 08:31:31,vacunación especial ¡felizsábado si dentro grupos riesgo levántate aprovecha mañana inocularte revisa imagen conoce ubicación horario refuerza sistema inmunológico influenza info,@evelynmatthei
2024-05-25 09:00:07,¿ya ruta díadelospatrimonios muniprovi grandes lugares conocer hermosos edificios explorar espero disfruten recuerden toda guía panoramas 25 26 mayo,@evelynmatthei
2024-05-24 15:21:22,realmente contentos muniprovi intervención escala real estación pirque enmarca díadelpatrimonio cuento parque bustamante 24 25 26 mayo espero puedan venir hacer unas lindas fotos duda viaje patrimonio providencia,@evelynmatthei
2024-05-24 09:23:56,emblemático barrio italia reuní sebastiansichel dudas tremendo alcalde comuna ñuñoa través experiencia profesionalismo mejorará calidad vida vecinos cuenta apoyo sebastián,@evelynmatthei
2024-05-23 17:36:17,tremenda actividad fundación cultural “mundo lego” amantes juegos podrán conocer tremenda exposición protagonista personajes icónicos películas además linda colección botánica pueden visitarla 21 julio av providencia 1995 ¡no pierdan lego culturaprovi muniprovi,@evelynmatthei
2024-05-23 12:58:04,vivicoloma enelchile hola viviana lamento leer favor envíame contacto dirección exacta,@evelynmatthei
2024-05-23 11:17:56,viernes 24 sábado 25 domingo 26 mayo invito revivir estación pirque viajar tiempo través recuerdos historia además podrán disfrutar “mercado recuerdo” encontrarán antigüedades ropa vintage discos libros ¡los esperamos parque bustamante plaza italia café literario 1100 1800 horas día patrimonio disfruta providencia,@evelynmatthei
2024-05-23 09:16:21,visto afectados cortes energía eléctrica favor escriban correo,@evelynmatthei
2024-05-22 13:05:02,seguimos monitoreando comuna recuerden si algún problema suministro eléctrico pueden hacerlo saber llamando 1414 mismo caso ocurran emergencias necesiten ayuda municipal casos cuadrillas equipos 247 disposición comunidad muniprovi,@evelynmatthei
2024-05-22 09:34:58,nuevamente equipos municipales encuentran diferentes lugares providencia monitoreando comuna lluvioso día pido favor problemas corte luz 2 horas hagan saber llamando 1414,@evelynmatthei
2024-05-21 22:42:50,rucionatural hola reporte señalas lamentablemente caso ocurrido hace unas horas estación central vivimos materia seguridad sé soluciona pidiendo suplencias bien medidas urgen mano alcaldes,@evelynmatthei
2024-05-21 13:06:10,imágenes llegan central seguridad asi providencia hoy 21demayo cuadrillas aseo siguen terreno monitoreando toda comuna caso regrese lluvia recuerden siempre cualquier emergencia pueden comunicarse llamando 1414,@evelynmatthei
2024-05-21 08:33:38,quiero comenzar jornada enviando cariñoso saludo hombres mujeres integran armadachile día glorias navales país reconoce valor duda enorgullece chilenos respeto cariño día 21demayo,@evelynmatthei
2024-05-21 10:31:30,victorjeldes1 armadachile abrazos,@evelynmatthei
2024-05-21 10:30:34,mañana lamentable incendio afectó local mercado condell muniprovi gracias rápido actuar bomberos equipos emergencia controlado solo trató pérdidas materiales quiero agradecer alertaron acudieron trabajaron siniestro ayuda posible cariños uds 13providencia cargo procedimiento,@evelynmatthei
2024-05-21 08:26:24,proviinforma vecinos transitan providencia informamos caída árbol bustamante altura número 126 pedimos precaución equipos dirigen lugar recuerda emergencia tomar contacto 1414,@evelynmatthei
2024-05-20 16:25:03,móviles seguridad encuentran monitoreando distintas aristas comuna frente lluvias afecta región si salir pedimos circular precaución recuerden cualquier emergencia pueden comunicarse 1414,@evelynmatthei
2024-05-20 09:53:15,listo recibir lluvia providencia,@evelynmatthei
2024-05-19 09:30:28,compartiendo equipo cesfam aguilucho siendo parte proceso acreditación superintendencia salud transformaría centro segundo obtener distinción verdad equipo humano profesional primer nivel segura lograrán resultados deseados vecinos podrán acceder aún mejores atenciones mano uds,@evelynmatthei
2024-05-18 09:27:00,hace días visité 19° comisaría muniprovi siempre agrado compartir tanta ayuda brindan vecinos recorriendo dependencias conocí mascotas lugar obviamente sacamos clásica selfie mando abrazo grande cada agradezco compromiso providencia,@evelynmatthei
2024-05-18 08:30:00,farmacia provisalud ¡hoy farmacia abre puertas manera especial vecinos providencia dificulta día hábil horario atención público 900 1300hrs ¡acude tiempo olvides presentar tarjeta vecino,@evelynmatthei
2024-05-17 13:17:59,agenden tremendo panorama,@evelynmatthei
2024-05-17 09:09:32,día mundial reciclaje ¡felizviernes si aún unes cuidado planeta hoy buen día hacerlo video contamos cómo lleva cabo providencia ¡dale play info,@evelynmatthei
2024-05-16 16:35:14,comenzó época poda jardines sustentables hoy turno plaza loreto cousiño realizó mantención correspondiente diferentes tipos plantas lugar ayuda mantenerlas sanas fuertes además asegurar crecimiento,@evelynmatthei
2024-05-16 11:26:52,próximo martes 21 mayo cumplen 145 años combate naval iquique muniprovi quisimos rendir homenaje junto representantes fuerzas armadas orden colegios municipales bomberos vecinos forma recordamos marinos largo historia defendido valor honor país agradezco carol vargas alcaldesa subrogante concejal monckeberg representar comuna solemne acto,@evelynmatthei
2024-05-15 17:21:41,¿piensas adoptar perrito gatito seguramente duda tenencia responsable cuidados requiere mascota junto equipo protecciónanimal esperamos charla nuevos tutores mascota jueves 1605 18 20 hrs,@evelynmatthei
2024-05-15 12:31:13,tremenda actividad fundación cultural “mundo lego” amantes juegos podrán conocer tremenda exposición protagonista personajes icónicos películas además linda colección botánica pueden visitarla 21 julio av providencia 1995 ¡no pierdanculturaprovi,@evelynmatthei
2024-05-15 08:36:48,vecinos vecinas informamos terminado anticipadamente contrato empresa parquímetros easy parking spa debido incumplimientos parte empresa inició partir decisión adoptada concejo municipal nuevo llamado licitación además presentó querella falsificación instrumento privado uso malicioso instrumento privado falso empresa,@evelynmatthei
2024-05-14 20:00:32,feria laboral online providencia ofrecerá 1800 puestos trabajo así puedes postular,@evelynmatthei
2024-05-14 16:26:18,hace semana frente mal tiempo provocó juntaran desechosñ escombros ribera ríomapocho cuadrillas aseo municipal realizaron intensa jornada limpieza pedimos encarecidamente mantener limpieza lugar tarea cuidar entornos ecosistema,@evelynmatthei
2024-05-13 16:01:48,gracias trabajo patrulleros seguridadprovidencia logramos capturar banda delictual realizaba robo violencia vecino encontraba plena vía pública suma 32 bandas detenidas 2024 ¡no olvides denunciar llamando 1414,@evelynmatthei
2024-05-14 11:54:26,miércoles 15 domingo 19 mayo llevará cabo quinta versión expo empleos online 2024 año ofrecerán 1800 puestos laborales distintos rubros duda gran instancia facilitar acceso trabajo toda comunidad detalles,@evelynmatthei
