user,text,date
@evelynmatthei,vuelve esperado vecinos invierno ¡la pista hielo parque bustamante año llega cargada magia magos hechiceros invitados disfrutarla gozar inauguración sábado 1 junio 1900 horas ¡no pierdan info acá,2024-05-29 15:32:41
@evelynmatthei,tercer año consecutivo realizando feria inclusión laboral personas discapacidad evento solo hoy 1700 horas parque balmaceda providencia conscientes brecha importante personas discapacidad justamente desafía promover tipo instancias busca conectar necesitan oportunidad laboral agradezco diversidadprovi todas empresas hoy presentes 2 mil puestos trabajo,2024-05-28 17:14:43
@evelynmatthei,presentando problemas transmisión online finalizada sesión subiremos audio jornada quede disposición,2024-05-28 10:12:28
@evelynmatthei,cosoc alcaldesa evelynmatthei encabeza nuevo consejo sociedad civil junto diversos dirigentes sociales providencia instancia participativa manera representativa conversamos distintas iniciativas impulsa muniprovi,2024-05-27 17:16:28
@evelynmatthei,¡mañana,2024-05-27 17:15:47
@evelynmatthei,aún visto intervención diadelpatrimonio cuento disponible jueves 30 mayo podrán visitarla fotografiarla disfrutar maravillosa obra remonta pasado esperamos parque bustamante salida metro ¡no pierdan,2024-05-27 14:30:04
@evelynmatthei,postales dejó fin semana cariño imposible tener mal lunes agradecida ustedes siempre mando abrazo grande excelente semana,2024-05-27 10:00:07
@evelynmatthei,feria laboral inclusión 2024 ofrecerá dos mil vacantes personas discapacidad martes 28 mayo 1000 horas parque balmaceda realizara tercera versión encuentro organizado qla muniprovi cervecería abinbevcl colaboración achsseguro instancia pondrá disposición dos mil puestos trabajo esperamos junto equipo diversidadprovi,2024-05-26 17:29:22
@evelynmatthei,trabaja genuino deseo mejorar cosas gente entiende sabe diferenciar verdad queremos solucionar problemas aquellos buscando puesto agradezco mensajes apoyo cariño,2024-05-26 13:21:12
@evelynmatthei,ltdomingo evelyn matthei “los chilenos dado cuenta experimento lleva lugares van apreciar trayectoria”,2024-05-26 08:50:00
@evelynmatthei,van partiendo mañana quiero compartir entrevista pude conversar forma especial junto latercera deseo feliz domingo ustedes vemos rato mesacentral nota,2024-05-26 09:47:22
@evelynmatthei,hilo día hoy chile comunas evelynmatthei habló cuatro ejes fundamentales construir chile próximos cuatro años seguridad pública calidad vida reactivacion económica transparencia,2024-05-25 18:59:57
@evelynmatthei,invito conectarse mañana mesacentral hablando seguridad unidad nuevos desafíos enfrenta,2024-05-25 18:40:20
@evelynmatthei,comunas siendo mal gobernadas únicos afectados calidad vida vecinos vecinas unidad chile vamos organizaciones sociedad civil coordinándonos toda oposición incluya republicanos democráticas amarillos podremos devolver progreso comunas sido mal administrada invitación seguir camino unidad,2024-05-25 18:00:47
