tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1795888712414277708',"🔴 Mamá de Tomás Ross tras reunión con Presidente Boric: ""Mi hijo siempre sabrá que nació en un pueblo solidario""
https://t.co/Unq8d84w5G",es,Tweet,0,12,3,1,1056,2024-05-29 14:43:29,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://www.meganoticias.cl/nacional/448715-mi-hijo-siempre-sabra-que-nacio-en-un-pueblo-solidario-camila-gomez-mama-tomas-ross-distrofia-muscular-duchenne-brk-29-5-2024.html,,
'1795885318949974128',El alcalde Jadue llegó hasta el centro de justicia para ser formalizado en el denominado caso “farmacias populares”. Su llegada fue en medio de una caótica recepción de sus partidarios. https://t.co/UthCPmLpGF,es,Tweet,0,2,2,5,2179,2024-05-29 14:30:00,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1795873715340582912/vid/avc1/720x720/lxWu4q9PLiQQuobe.mp4?tag=14
'1795884574506946933',Femicidio en Santiago: Hombre se entrega a Carabineros y confiesa haber asesinado a su pareja https://t.co/fzjToWcBlt https://t.co/nEDG5ruTk9,es,Tweet,0,4,2,0,1786,2024-05-29 14:27:03,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/nacional/448682-femicidio-santiago-santa-elena-hombre-venezolano-se-entrego-y-confeso-matar-a-su-pareja-brk-29-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1717006823,photo,https://pbs.twimg.com/media/GOxDgNrXoAAb9al.png
'1795883497493512441',"""No voy a volver con ella"": Luis Mateucci reveló la razón por la que terminó con Daniela Aránguiz https://t.co/HMw6rqXpDq https://t.co/ynOUTbxwVK",es,Tweet,0,4,2,3,2102,2024-05-29 14:22:46,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/tendencias/448693-luis-mateucci-daniela-aranguiz-fin-relacion-reality-ganar-o-servir-pdp-29-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1717006293,photo,https://pbs.twimg.com/media/GOxChi9XsAAO4NB.png
'1795882068150304804',La nueva vida de Bernardita Middleton: Encontró nuevo amor y lleva un mes estudiando inglés en Brighton https://t.co/k5EoIoUj4x https://t.co/Wj5g0a5S8s,es,Tweet,0,3,1,4,2322,2024-05-29 14:17:05,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/tendencias/448653-nueva-vida-bernardita-middleton-encontro-nuevo-amor-lleva-un-mes-estudiando-ingles-brighton-brk-29-5-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1717006161,photo,https://pbs.twimg.com/media/GOxBODRX0AEVeWj.png
'1795880953325244711',Este es el beneficio que se acaba durante junio https://t.co/EzkSX6X1m5 https://t.co/JHCvfF5rwy,es,Tweet,0,1,0,0,1730,2024-05-29 14:12:39,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/dato-util/448685-bono-que-se-acaba-en-junio-pdp-29-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1717005909,photo,https://pbs.twimg.com/media/GOxANeNWYAAi3ag.png
'1795880287886270530',"Este será ""el día más soleado"" para hacer panoramas en Valparaíso y Viña del Mar este fin de semana

https://t.co/3Z9o96YMqT",es,Tweet,0,3,0,0,1812,2024-05-29 14:10:01,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://www.megatiempo.cl/pronostico/1396-pronostico-del-tiempo-valparaiso-vina-del-mar-finde-1ab.html,,
'1795879450506100978',"Meta cumplida 🥹 Camila Gomez, madre de Tomas Ross llegó a La Moneda tras 32 días de caminata desde Ancud, como parte de una cruzada solidaria para reunir los fondos necesarios para un medicamento para tratar la enfermedad de Tomás Roos, su hijo. https://t.co/WCpqe5A8xv",es,Tweet,0,156,37,13,6959,2024-05-29 14:06:41,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1795879260898447360/vid/avc1/720x720/XVfh8pKNq1w-K_An.mp4?tag=14
'1795878417847509230',"Aumento de enfermedades respiratorias: Virus predominante es la influenza y ocupación de camas críticas llega al 92,9% https://t.co/uwy3MjGw29 https://t.co/G5kEOQQDdw",es,Tweet,0,3,2,2,1958,2024-05-29 14:02:35,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/nacional/448713-balance-enfermedades-respiratorias-influenza-camas-criticas-ministerio-de-salud-brk-29-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1717005754,photo,https://pbs.twimg.com/media/GOw954CWgAA21oN.png
'1795873906357637338',Proyectan llegada de ciclón para los primeros días de junio: ¿En qué partes del país podría registrarse? https://t.co/jGNSAjXWdX https://t.co/2vF8jdL6ki,es,Tweet,1,2,1,0,2260,2024-05-29 13:44:39,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/nacional/448706-pronostico-ciclon-chile-junio-sistema-frontal-lluvias-brk-29-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1717004382,photo,https://pbs.twimg.com/media/GOw5zRNWEAA9N_s.png
