author,content,title,predicted_emotion,predicted_sentiment
Antonio Machado," Este noble poeta, que ha escuchado  los ecos de la tarde y los violines  del otoño en Verlaine, y que ha cortado  las rosas de Ronsard en los jardines  de Francia, hoy, peregrino  de un Ultramar de Sol, nos trae el oro  de su verbo divino.  ¡Salterios del loor vibran en coro!  La nave bien guarnida,  con fuerte casco y acerada prora,  de viento y luz la blanca vela henchida  surca, pronta a arribar, la mar sonora.  Y yo le grito: ¡Salve! a la bandera  flamígera que tiene  esta hermosa galera,  que de una nueva España a España viene.",Al maestro Rubén Darío,joy,POS
Antonio Machado," Una larga carretera  entre grises peñascales,  y alguna humilde pradera  donde pacen negros toros. Zarzas, malezas,jarales.  Está la tierra mojada  por las gotas del rocío,  y la alameda dorada,  hacia la curva del río.  Tras los montes de violeta  quebrado el primer albor:  a la espalda la escopeta,  entre sus galgos agudos, caminando un cazador.",Amanecer de otoño,others,POS
Antonio Machado," Tierra le dieron una tarde horrible  del mes de julio, bajo el sol de fuego.  A un paso de la abierta sepultura,  había rosas de podridos pétalos,  entre geranios de áspera fragancia  y roja flor. El cielo  puro y azul. Corría  un aire fuerte y seco.  De los gruesos cordeles suspendido,  pesadamente, descender hicieron  el ataúd al fondo de la fosa  los dos sepultureros...  Y al reposar sonó con recio golpe,  solemne, en el silencio.  Un golpe de ataúd en tierra es algo  perfectamente serio.  Sobre la negra caja se rompían  los pesados terrones polvorientos...  El aire se llevaba  de la honda fosa el blanquecino aliento.  ?Y tú, sin sombra ya, duerme y reposa,  larga paz a tus huesos...  Definitivamente,  duerme un sueño tranquilo y verdadero.",En el entierro de un amigo,others,POS
Antonio Machado," La calva prematura  brilla sobre la frente amplia y severa;  bajo la piel pálida tersura  se trasluce la fina calavera.  Mentón agudo y pómulos marcados  por trazos de un punzón adamantino;  y de insólita púrpura manchados  los labios que soñara un florentino.  Mientras la boca sonreír parece,  los ojos perspicaces,  que un ceño pensativo empequeñece,  miran y ven, profundos y tenaces.  Tiene sobre la mesa un libro viejo  donde posa la mano distraída.  Al fondo de la cuadra, en el espejo,  una tarde dorada está dormida.  Montañas de violeta  y grasientos breñales,  la tierra que ama el santo y el poeta,  los buitres y las águilas caudales.  Del abierto balcón al blanco muro  va una franja de sol anaranjada  que inflama el aire, en el ambiente obscuro  que envuelve la armadura arrinconada.",Fantasía iconográfica,joy,POS
Antonio Machado," Este hombre del casino provinciano  que vio a Carancha recibir un día,  tiene mustia la tez, el pelo cano,  ojos velados por melancolía;  bajo el bigote gris, labios de hastío,  y una triste expresión, que no es tristeza,  sino algo más y menos: el vacío  del mundo en la oquedad de su cabeza.  Aún luce de corinto terciopelo  chaqueta y pantalón abotinado,  y un cordobés color de caramelo,  pulido y torneado.  Tres veces heredó; tres ha perdido  al monte su caudal; dos ha enviudado.  Sólo se anima ante el azar prohibido,  sobre el verde tapete reclinado,  o al evocar la tarde de un torero,  la suerte de un tahúr, o si alguien cuenta  la hazaña de un gallardo bandolero,  o la proeza de un matón, sangrienta.  Bosteza de política banales  dicterios al gobierno reaccionario,  y augura que vendrán los liberales,  cual torna la cigüeña al campanario.  Un poco labrador, del cielo aguarda  y al cielo teme; alguna vez suspira,  pensando en su olivar, y al cielo mira  con ojo inquieto, si la lluvia tarda.  Lo demás, taciturno, hipocondriaco,  prisionero en la Arcadia del presente,  le aburre; sólo el humo del tabaco  simula algunas sombras en su frente.  Este hombre no es de ayer ni es de mañana,  sino de nunca; de la cepa hispana  no es el fruto maduro ni podrido,  es una fruta vana  de aquella España que pasó y no ha sido,  esa que hoy tiene la cabeza cana.",Del pasado efímero,anger,NEG
Antonio Machado," ¡Ah, cuando yo era niño  soñaba con los héroes de la Ilíada!  Áyax era más fuerte que Diomedes,  Héctor, más fuerte que Ayax,  y Aquiles el más fuerte; porque era  el más fuerte...¡Inocencias de la infancia!  ¡Ah, cuando yo era niño  soñaba con los héroes de la Ilíada!",Proverbios y cantares XVIII,sadness,NEG
Antonio Machado," Abril florecía  frente a mi ventana.  Entre los jazmines  y las rosas blancas  de un balcón florido,  vi las dos hermanas.  La menor cosía,  la mayor hilaba ...  Entre los jazmines  y las rosas blancas,  la más pequeñita,  risueña y rosada  ?su aguja en el aire?,  miró a mi ventana.  La mayor seguía  silenciosa y pálida,  el huso en su rueca  que el lino enroscaba.  Abril florecía  frente a mi ventana.  Una clara tarde  la mayor lloraba,  entre los jazmines  y las rosas blancas,  y ante el blanco lino  que en su rueca hilaba.  ?¿Qué tienes ?le dije?  silenciosa pálida?  Señaló el vestido  que empezó la hermana.  En la negra túnica  la aguja brillaba;  sobre el velo blanco,   el dedal de plata.  Señaló a la tarde  de abril que soñaba,  mientras que se oía  tañer de campanas.  Y en la clara tarde  me enseñó sus lágrimas...  Abril florecía  frente a mi ventana.  Fue otro abril alegre  y otra tarde plácida.  El balcón florido  solitario estaba...  Ni la pequeñita  risueña y rosada,  ni la hermana triste,  silenciosa y pálida,  ni la negra túnica,  ni la toca blanca...  Tan sólo en el huso  el lino giraba  por mano invisible,  y en la oscura sala  la luna del limpio   espejo brillaba...  Entre los jazmines  y las rosas blancas  del balcón florido,  me miré en la clara  luna del espejo  que lejos soñaba...  Abril florecía  frente a mi ventana.",Abril florecía,joy,POS
Antonio Machado," Se ha asomado una cigüeña a lo alto del campanario.  Girando en torno a la torre y al caserón solitario,  ya las golondrinas chillan. Pasaron del blanco invierno,  de nevascas y ventiscas los crudos soplos de infierno.  Es una tibia mañana.  El sol calienta un poquito la pobre tierra soriana.  Pasados los verdes pinos,  casi azules, primavera  se ve brotar en los finos  chopos de la carretera  y del río. El Duero corre, terso y mudo, mansamente.  El campo parece, más que joven, adolescente.  Entre las hierbas alguna humilde flor ha nacido,  azul o blanca. ¡Belleza del campo apenas florido,  y mística primavera!  ¡Chopos del camino blanco, álamos de la ribera,  espuma de la montaña  ante la azul lejanía,  sol del día, claro día!  ¡Hermosa tierra de España!",Orillas del Duero,joy,POS
Antonio Machado," Palacio, buen amigo,  ¿está la primavera  vistiendo ya las ramas de los chopos  del río y los caminos? En la estepa  del alto Duero, Primavera tarda,  ¡pero es tan bella y dulce cuando llega!...  ¿Tienen los viejos olmos  algunas hojas nuevas?  Aún las acacias estarán desnudas  y nevados los montes de las sierras.  ¡Oh mole del Moncayo blanca y rosa,  allá, en el cielo de Aragón, tan bella!  ¿Hay zarzas florecidas  entré las grises peñas,  y blancas margaritas  entre la fina hierba?  Por esos campanarios  ya habrán ido llegando las cigüeñas.  Habrá trigales verdes,  y mulas pardas en las sementeras,  y labriegos que siembran los tardíos  con las lluvias de abril. Ya las abejas  libarán del tomillo y el romero.  ¿Hay ciruelos en flor? ¿Quedan violetas?  Furtivos cazadores, los reclamos  de la perdiz bajo las capas luengas,  no faltarán. Palacio, buen amigo,  ¿tienen ya ruiseñores las riberas?  Con los primeros lirios  y las primeras rosas de las huertas,  en una tarde azul, sube al Espino,  al alto Espino donde está su tierra...",A José María Palacio,joy,POS
Antonio Machado," La aurora asomaba  lejana y siniestra.  El lienzo de Oriente  sangraba tragedias,  pintarrajeadas  con nubes grotescas.  .....................................................  En la vieja plaza  de una vieja aldea,  erguía su horrible  pavura esquelético  el tosco patíbulo  de fresca madera...  La aurora asomaba  lejana y siniestra.",El cadalso,others,NEU
