author,content,title,predicted_emotion,predicted_sentiment
Mario Benedetti,En las manos te traigo viejas señales son mis manos de ahora no las de antes  doy lo que puedo y no tengo vergüenza del sentimiento  si los sueños y ensueños son como ritos el primero que vuelve siempre es el mismo  salvando muros se elevan en la tarde tus pies desnudos  el azar nos ofrece su doble vía vos con tus soledades yo con las mías  y eso tampoco si habito en tu memoria no estaré solo  tus miradas insomnes no dan abasto dónde quedó tu luna la de ojos claros  mírame pronto antes que en un descuido me vuelva otro  no importa que el paisaje cambie o se rompa me alcanza con tus valles y con tu boca  no me deslumbres me basta con el cielo de la costumbre  en mis manos te traigo viejas señales son mis manos de ahora no las de antes  doy lo que puedo y no tengo vergüenza del sentimiento.,Señales,anger,NEU
Mario Benedetti,Como esplende un sesentón cuando logra vencer por dos     pulgadas al bisoño que intentó conseguir el único     asiento libre  como bienquiere el contribuyente silvestre a la cajera número     cuatro en el momento de enfrentarla tras dos     horas de cola  como acoge el deudor la noticia de que ha fallecido su     acreedor más implacable  como suele compungirse la buena gente si el locutor no     advierte a tiempo la traicionera errata que lo acecha     en el cable llagdo a última hora.  como el prójimo que permanece enjabonado bajo la ducha     a causa de un corte imprevisto y al cabo de tres     minutos se solaza al advertir que el agua vuelve a     manar sin usura  como el chofer que se reconcilia con la vida tras esquivar     limpiamente un desbocado camión con tres containers  como el adolescente que ama los decibeles más que a sí     mismo  así    trifena mía    aproximadamente así suelo quererte,Epigrama,others,NEU
Mario Benedetti,Esperando que el viento doble tus ramas  que el nivel de las aguas llegue a tu arena  esperando que el cielo forme tu barro  y que a tus pies la tierra se mueva sola  pueblo estás quieto  cómo no sabes  cómo no sabes todavía  que eres el viento la marea  que eres la lluvia el terremoto.,Calma chicha,others,NEU
Mario Benedetti,     Tu espejo es un sagaz      te sabe poro a poro      te desarruga el ceño      te bienquiere       te pule las mejillas      te despeina los años      o te mira a los ojos      te bienquiere       te depura los gestos      te pone la sonrisa      te transmite confianza      te bienquiere       hasta que sin aviso      sin pensarlo dos veces      se descuelga del clavo      te destroza,Tu espejo es un sagaz,joy,POS
Mario Benedetti,Tenemos una paciencia verde y sólida como un caimán una paciencia a prueba de balas y promesas  sabemos aguantar con los delirios en acecho hacer almácigos con nuestros odios mejores  tenemos una esperanza blanca y prójima como una paloma que ya no es mensajera  tenemos una esperanza a prueba de terremotos y congojas  sabemos esperar rodeados por la muerte sabemos desvelarnos por la vida  tenemos una alegría temprana como un gallo una alegría convicta maniatada y rabiosa  sabemos cómo desatarla y sabemos que al alba cantarán los gallísimos sueños.,Gallos sueños,joy,POS
Mario Benedetti,     Cuando en un accidente      una explosión      un terremoto      un atentado      se salvan cuatro o cinco      creemos                      insensatos      que derrotamos a la muerte       pero la muerte nunca      se impacienta      seguramente porque      sabe mejor que nadie      que os sobrevivientes      también muerten.,Sobrevivientes,sadness,NEU
Mario Benedetti,Cuando resido en este país que no sueña cuando vivo en esta ciudad sin párpados donde sin embargo mi mujer me entiende y ha quedado mi infancia y envejecen mis padres y llamo a mis amigos de vereda a vereda y puedo ver los árboles desde mi ventana olvidados y torpes a las tres de la tarde siento que algo me cerca y me oprime como si una sombra espesa y decisiva descendiera sobre mí y sobre nosotros para encubrir a ese alguien que siempre afloja el viejo detonador de la esperanza.  Cuando vivo en esta ciudad sin lágrimas que se ha vuelto egoísta de puro generosa que ha perdido su ánimo sin haberlo gastado pienso que al fin ha llegado el momento de decir adiós a algunas presunciones de alejarse tal vez y hablar otros idiomas donde la indiferencia sea una palabra obscena.  Confieso que otras veces me he escapado. Diré ante todo que me asomé al Arno que hallé en las librerías de Charing Cross cierto Byron firmado por el vicario Bull en una navidad de hace setenta años. Desfilé entre los borrachos de Bowery y entre los Brueghel de la Pinacoteca comprobé cómo puede trastornarse el equipo sonoro del Chateau de Langeais explicando medallas e incensarios cuando en verdad había sólo armaduras.  Sudé en Dakar por solidaridad vi turbas galopando hasta la Monna Lisa y huyendo sin mirar a Botticelli vi curas madrileños abordando a rameras y en casa de Rembrandt turistas de Dallas que preguntaban por el comedor suecos amontonados en dos metros de sol y en Copenhague la embajada rusa y la embajada norteamericana separadas por un lindo cementerio.  Vi el cadáver de Lídice cubierto por la nieve y el carnaval de Río cubierto por la samba y en Tuskegee el rabioso optimismo de los negros probé en Santiago el caldillo de congrio y recibí el Año Nuevo en Times Square sacándome cornetas del oído.  Vi a Ingrid Bergman correr por la Rue Blanche y salvando las obvias diferencias vi a Adenauer entre débiles aplausos vieneses vi a Kruschev saliendo de Pennsylvania Station y salvando otra vez las diferencias vi un toro de pacífico abolengo que no quería matar a su torero. Vi a Henry Miller lejos de sus trópicos con una insolación mediterránea y me saqué una foto en casa de Jan Neruda dormí escuchando a Wagner en Florencia y oyendo a un suizo entre Ginebra y Tarascón vi a gordas y humildes artesanas de Pomaire y a tres monjitas jóvenes en el Carnegie Hall marcando el jazz con negros zapatones vi a las mujeres más lindas del planeta caminando sin mí por la Vía Nazionale.  Miré admiré traté de comprender creo que en buena parte he comprendido y es estupendo todo es estupendo sólo allá lejos puede uno saberlo y es una linda vacación es un rapto de imágenes es un alegre diccionario es una fácil recorrida es un alivio.  Pero ahora no me quedan más excusas porque se vuelve aquí siempre se vuelve. La nostalgia se escurre de los libros se introduce debajo de la piel y esta ciudad sin párpados este país que nunca sueña de pronto se convierte en el único sitio donde el aire es mi aire y la culpa es mi culpa y en mi cama hay un pozo que es mi pozo y cuando extiendo el brazo estoy seguro de la pared que toco o del vacío y cuando miro el cielo veo acá mis nubes y allí mi Cruz del Sur mi alrededor son los ojos de todos y no me siento al margen ahora ya sé que no me siento al margen.  Quizá mi única noción de patria sea esta urgencia de decir Nosotros quizá mi única noción de patria sea este regreso al propio desconcierto.,Noción de patria,joy,POS
Mario Benedetti," Unas veces me siento como pobre colina y otras como montaña de cumbres repetidas. Unas veces me siento como un acantilado y en otras como un cielo azul pero lejano. A veces uno es manantial entre rocas y otras veces un árbol con las últimas hojas. Pero hoy me siento apenas como laguna insomne con un embarcadero ya sin embarcaciones una laguna verde inmóvil y paciente conforme con sus algas sus musgos y sus peces, sereno en mi confianza confiando en que una tarde te acerques y te mires, te mires al mirarme.",Estados de ánimo,others,POS
Mario Benedetti,Tengo la convicción de que no existes y sin embargo te oigo cada noche te invento a veces con mi vanidad o mi desolación o mi modorra del infinito mar viene su asombro lo escucho como un salmo y pese a todo tan convencido estoy de que no existes que te aguardo en mi sueño para luego.,Sirena,joy,NEU
Mario Benedetti,     Un hombre      alegre      es uno más      en el coro      de hombres      alegres       un hombre      triste      no se parece      a ningún otro      hombre      triste,Talantes,sadness,NEG
