user,text,date,emotion,sentiment
@joseantoniokast,llegó hora daniel jadue justicia llegar carcelparajadue,2024-05-28 21:07:59,others,NEU
@joseantoniokast,si ministra interior miedo grupo vándalos imaginense deben pensar grupos terroristas crimen organizado gobierno,2024-05-28 15:21:23,others,NEG
@joseantoniokast,nota eys “oposición complejos” marcela cubillos “los acuerdos posibles existen coincidencias fundamentales respecto rumbo hacia dirigir chile puede haber acuerdo tributario gobierno declara querer enterrar “neoliberalismo”,2024-05-27 14:49:04,others,NEG
@joseantoniokast,unica cuentapublica importa cuenta regresiva acabe desastroso gobierno quedan 654 dias recuperemos chile,2024-05-26 21:42:09,others,NEG
@joseantoniokast,gobierno fracaso culpa gobiernan oposición oponerse malas reformas obstruccionismo obligación,2024-05-26 15:25:55,others,NEG
@joseantoniokast,comparto entrevista di diario mercurio publicada día hoy,2024-05-26 16:49:16,others,NEU
@joseantoniokast,arturosquella emol tv “las 4 elecciones octubre vitales éxito próximo año” pierdas entrevista completa canal youtube,2024-05-25 18:14:19,others,NEU
@joseantoniokast,comunicado oficial amenazas muerte extorsión recibidas concejal candidato alcalde tirúa neftalí nahuelqueo,2024-05-25 15:32:22,others,NEG
@joseantoniokast,¡vamos recuperar atacama arturosquella presenta iurcullu candidato gobernador región atacama ¿quién ignacio urcullú cuál experiencia detalles encontrarás siguiente video,2024-05-25 10:02:52,others,NEU
@joseantoniokast,agradable encuentro conversación don ramón señora beatriz escuchamos principales preocupaciones inquietudes ayudarlos mejorar calidad vida recoleta muchas gracias joseantoniokast josemezapereira apoyo compañía,2024-05-23 18:08:49,joy,POS
@joseantoniokast,gran abrazo querido neftali nahuelkeo dificiles horas podemos permitir violencia amenazas repriman ansias libertad pueblo fuerza fe,2024-05-24 21:21:20,others,NEG
@joseantoniokast,hoy cumplen 32 años brutal asesinato juez giovanni falcone trabajó fuertemente combatiendo crimen organizado mafias debemos anteponernos actuar determinación combate mafias carteles operan país,2024-05-23 13:59:12,others,NEG
@joseantoniokast,“en italia implementó sistema investigativo carcelario permite aislar aquellos dirigen carteles mafias corrompen país entero” conoce gira joseantoniokast italia nota latercera,2024-05-23 10:50:30,others,NEU
@joseantoniokast,hace días junto equipo irepublicanas lanzamiento guía re aquí podrás ver momentos importantes candidatos gobernadores alcaldes consejeros regionales concejales ¡recuperaremos cada comuna chile,2024-05-22 19:26:42,joy,POS
