user,text,date,emotion,sentiment
@camila_vallejo,voceríainforma ministra camilavallejo encabeza punto prensa conjunto subsecretaria director autoridades regionales tras realizar cuentapúblicaparticipativa2024 ministerio secretaría general gobierno comuna loslagos región ríos,2024-05-29 13:04:28,others,NEU
@camila_vallejo,¡es hoy comuna loslagos región ríos comenzamos cuentapúblicaparticipativa2024 voceriagobierno junto subsecretaria nikicardoch director dossegegob ignacioachurra relevar importantes avances alcanzado ministerio,2024-05-29 12:37:16,joy,POS
@camila_vallejo,inversión 122 millones programa mejorescuela minenergia escuela enrique hevia labbé riñihue cuenta altos estándares acondicionamiento térmico beneficiando directamente comunidad educativa,2024-05-29 11:29:07,others,NEU
@camila_vallejo,sabemos principales preocupaciones familias país seguridad ello región ríos seguimos reforzando plan calles violencia aumentamos flota carabineros pdi recursos ministerio interior curso proyectos mejora infraestructura policías seguimos avanzando chile seguro,2024-05-28 18:48:44,others,NEU
@camila_vallejo,¡chileavanzando familias cumple mes inicio implementación ley 40horas pagado 830 mil millones pensiones alimentos plan emergencia habitacional sigue avanzando,2024-05-28 16:59:48,joy,POS
@camila_vallejo,voceríaenmedios ¡seguimos región ríos ministra camilavallejo conversación radio lanco abordará principales temas marcan contingencia nivel nacional regional ¡no pierdas ahora,2024-05-28 17:44:33,others,NEU
@camila_vallejo,trasladamos comuna lanco participar diálogo ciudadano junto alcalde jrochaalcalde participaron vecinas dirigentas comuna instancias fundamentales conversar aclarar dudas avances gobiernodechile impulsado mujeres chile,2024-05-28 17:05:33,others,NEU
@camila_vallejo,¡se cumple mes puesta marcha ley 40horas 18 mil empresas implementaron jornada laboral 40 horas semanales beneficiando 260 mil trabajadores trabajadoras sumarán 31 mil 2024,2024-05-28 15:55:24,others,NEU
@camila_vallejo,subsecretaría educación superior mineduc acompañado cerca proceso atraviesa universidad austral preocupación central dar continuidad garantizar derecho educación gobierno enfrentado seguirá enfrentando tipo conflictos asegurar diálogo partes involucradas pueda llegar soluciones pronto,2024-05-28 13:20:32,others,NEU
@camila_vallejo,llegamos valdivia intensa agenda autoridades regionales ir monitoreando avance compromisos territorios toma mayor relevancia días cuenta pública 2024 realizará presidente releva coordinación actores mejorar condiciones vida ciudadanos todas regiones país,2024-05-28 13:16:24,others,NEU
